Encomenda  177110;
2025-07-14;
n/ ref;qnt;qntBonus;v/ ref;ean;descri��o;
007772VE_03;45;0;6031898;3337875598774;CeraVe: Gel Espuma de Limpeza para Rosto e Corpo Pele Normal a Oleosa 1000mL;
020338VE_01;56;0;7252361;3337875849326;CeraVe: B�lsamo Reparador Avan�ado 50mL;
006652VY_03;55;0;6259762;3337875609418;Vichy: Mineral 89 Concentrado de Hidrata��o 75mL;
007777VE_03;46;0;6031989;3337875597227;CeraVe: Creme Hidratante de Rosto e Corpo Pele Seca a Muito Seca 340g;
014280RP_01;85;0;6670240;3337875761123;La Roche Posay: Anthelios Leite Hidratante 250mL SPF50+;
001977RP_01;32;0;6994590;3337875537315;La Roche Posay: Lipikar Syndet AP+ 400mL;
002127VY_04;21;0;6583831;3337871316624;Vichy: Dermablend Base Fluida 30mL 45 Gold;
008472RP_01;5;0;6047860;3337875578486;La Roche Posay: Toleriane Sensitive Creme Pr�biotico Pele Normal 40mL;
001991RP_03;6;0;7260000;3337875545891;La Roche Posay: Anthelios Gel-Creme Protetor Solar Toque Seco 50mL Tinted SPF50+;
015368VY_01;31;0;7099887;3337875796583;Vichy: Liftactiv Supreme S�rum Vitamina C 20mL;
007782VE_01;29;0;6032037;3337875597296;CeraVe: Creme de P�s Renovador para Pele Seca e Aspera 88mL;
001506DE_01;36;0;6887752;3337871323394;Dercos: Shampoo Anticaspa Couro Cabeludo Sens�vel 200mL;
015152RP_01;4;0;7080853;3337875757515;La Roche Posay: Toleriane Dermallergo Creme Contorno de Olhos 20mL;
001504DE_02;12;0;6964643;3337875492799;Dercos: Shampoo Anticaspa Seca 390mL;
001897RP_02;25;0;7254201;3337875863964;La Roche Posay: Toleriane Teint Base Fluida 30mL 13 Beige Sabl�;
009984VY_01;25;0;6259796;3337875660617;Vichy: Normaderm Phytosolution Cuidado de Dupla A��o 50mL;
001863RP_01;3;0;6506006;3337875731638;La Roche Posay: Hydraphase Intense Ligeiro 50mL;
006652VY_01;45;0;;3337875543248;Vichy: Mineral 89 Concentrado de Hidrata��o 50mL;
006266RP_01;12;0;6891762;3337872413148;La Roche Posay: Physiologique Espuma de �gua Micelar para Limpeza Pele Sens�vel 150mL;
002013RP_03;47;0;7304816;3337875886055;La Roche Posay: Anthelios Uvmune 400 Dermo-Pediatrico Spray 200mL SPF50;
001505DE_02;12;0;6948687;3337871331290;Dercos: Shampoo Anticaspa Oleosa 390mL;
014267RP_01;3;0;6670984;3337875761031;La Roche Posay: Anthelios Age Correct Protetor Solar 50mL No Color SPF50;
011174SK_01;2;0;6253393;3606000481282;Skinceuticals: S�rum Discoloration Defense 30mL;
018812RP_03;71;0;7439240;3337875909280;La Roche Posay: Effaclar Duo [+] M 40mL Medium;
008499VE_01;25;0;6031906;3337875597203;CeraVe: �gua Micelar Pele Sens�vel 296mL;
001977RP_04;33;0;6386961;3337875735766;La Roche Posay: Lipikar Syndet Ap + 400mL Refill;
006775RP_01;6;0;6994509;3337872412516;La Roche Posay: Effaclar �gua Micelar Ultra 400mL;
002024RP_02;19;0;6934604;3337872414282;La Roche Posay: Kerium Shampoo-Gel Suavidade Extrema 400mL;
017771RP_02;4;0;7260026;3337875847087;La Roche Posay: Anthelios UVmune 400 Oil-Control Fluido 50mL Tinted SPF50+;
007773VE_03;41;0;6031815;3337875598767;CeraVe: Creme Hidratante para Limpeza de Rosto e Corpo Pele Normal Seca 1000mL;
009550RP_08;20;0;7329730;3337875905466;La Roche Posay: Lipikar �leo Lavante Ap+ para Pele At�pica 1000mL;
001971RP_03;39;0;7329748;3337875905480;La Roche Posay: Lipikar Gel Lavante 1000mL 1&nbsp;
001897RP_01;15;0;7254193;3337875863926;La Roche Posay: Toleriane Teint Base Fluida 30mL 11 Beige Clair;
002011RP_06;28;0;7304808;3337875888851;La Roche Posay: Anthelios Dermo-Pediatrico Lo��o Hidratante 250mL SPF50+;
006264RP_02;13;0;6994533;3337872411595;La Roche Posay: �gua Micelar Ultra 400mL;
013663VE_04;42;0;7289876;3337875884365;CeraVe: Creme Espuma Hidratante Limpeza Pele Normal 473mL;
007779VE_02;18;0;7115196;3337875814652;CeraVe: Lo��o Facial Hidratante para Pele Normal a Seca 52mL SPF50;
000132SK_01;7;0;6892356;0635494349207;Skinceuticals: Ultra Prote��o Facial 30mL SPF50;
015151RP_01;16;0;7080879;3337875757614;La Roche Posay: Toleriane Dermallergo Creme Pele Al�rgica e Intolerante 40mL;
020056RP_01;8;0;7270579;3337875545822;La Roche Posay: Toleriane Gel Moussant Dupla Limpeza 400mL;
001504DE_03;33;0;7079053;3337875787208;Dercos: Shampoo Anti-Caspa Seca 500mL Refill;
002106VY_01;25;0;6565390;3337871310455;Vichy: Desodorizante Antitranspirante em Creme 7 Dias 30mL;
015367VY_01;3;0;7080259;3337875734905;Vichy: Liftactiv Specialist S�rum B3 30mL;
001934RP_01;9;0;7104109;3337875777773;La Roche Posay: Effaclar H Isobiome Creme Lavante Peles Oleosas Fragilizadas 400mL;
002094VY_01;27;0;6867259;3337875824033;Vichy: Neovadiol Contorno de Olhos e L�bios 15mL;
010644VY_01;6;0;6256875;3337875596763;Vichy: Mineral 89 Olhos Concentrado Hidratante e Fortificante 15mL;
018812RP_02;17;0;7439232;3337875909303;La Roche Posay: Effaclar Duo [+] M 40mL Light;
001900RP_01;1;0;6038240;3337872412042;La Roche Posay: Toleriane Teint Mineral P� Compacto 9,5g 11 Beige Clair;
002127VY_01;3;0;6583849;3337871316594;Vichy: Dermablend Base Fluida 30mL 15 Opal;
007476RP_01;19;0;7484535;3337875545778;La Roche Posay: Toleriane Caring Wash Gel de Limpeza Anti-Desconforto 400mL;
017540RP_01;3;0;7135442;3337875807043;La Roche Posay: Toleriane Rosaliac Ar Concentrado 40mL;
022604VE_01;36;0;7404954;3337875904322;CeraVe: Lo��o Hidratante Intensiva para Pele Muito Seca 473mL;
007777VE_07;45;0;;3337875905626;CeraVe: Creme Hidratante de Rosto e Corpo Pele Seca a Muito Seca 454g Refill;
001881RP_02;5;0;6849216;3337872411830;La Roche Posay: Toleriane Dermo-Nettoyant Limpeza Peles Intolerantes 400mL;
020336VE_01;20;0;7287631;3606000560833;CeraVe: S�rum Hidratante de �cido Hialur�nico 30mL;
002084VY_01;19;0;6884809;3337875414067;Vichy: Normaderm 3 em 1 Esfoliante Creme de Limpeza e M�scara Purificante 125mL;
017770RP_01;2;0;7127316;3337875806923;La Roche Posay: Hyalu B5 S�rum de Olhos 15mL;
014267RP_02;15;0;6670976;3337875764353;La Roche Posay: Anthelios Age Correct Protetor Solar 50mL Tinted SPF50;
003358VY_01;12;0;6882498;3337871322571;Vichy: Homme Hydra Mag C Hidratante Anti-Fadiga 50mL;
001879RP_01;8;0;6907576;3337872413575;La Roche Posay: Nutritic Intense Rico Cuidado Nutritivo Peles Muito Secas 50mL;
016807VE_01;13;0;7078857;3337875782357;CeraVe: Gel Controlo de Imperfei��es 40mL;
017336VY_01;20;0;7247957;3337875832724;Vichy: Liftactiv B3 Creme de Dia com Antimanchas 50mL SPF50;
014280RP_02;24;0;7259945;3337875847353;La Roche Posay: Anthelios Leite Hidratante 75mL SPF50+;
017539RP_01;5;0;7135434;3337875806961;La Roche Posay: Toleriane Rosaliac Ar 40mL SPF30;
002491VY_01;17;0;6862508;3337871318888;Vichy: Homme Sensi Baume B�lsamo After-Shave 75mL;
008345VY_01;8;0;6086280;3337875607254;Vichy: Liftactiv Collagen Specialist 16 Creme Dia 50mL;
002085VY_01;15;0;6955674;3337875414111;Vichy: Normaderm Hidratante Anti-Imperfei��es 50mL;
014277VY_01;13;0;6633487;3337875762298;Vichy: Capital Soleil Fluido aquoso corrector UV-Age Daily Photo-Age 40mL No Color SPF50+;
008493RP_01;5;0;6047977;3337875588348;La Roche Posay: Toleriane Sensitive Creme Rico Prebi�tico para Pele Seca 40mL;
002200VY_01;11;0;6916924;3337871324445;Vichy: Capital Soleil Creme Untuoso 50mL SPF50+;
