Encomenda  177110;
2025-07-14;
n/ ref;qnt;qntBonus;v/ ref;ean;descri��o;
007182BD_01;12;0;7478685;3401360106994;Bioderma: S�bium Sensitive Hidratante para Pele Acneica e Sensivel 30mL;
003485BD_01;23;0;6936310;3701129802069;Bioderma: Atoderm Intensive B�lsamo Calmante Pele At�pica 200mL;
005989BD_07;18;0;7496455;3701129810194;Bioderma: Atoderm �leo de Duche Nutritivo Anti-Irrita��es 500mL;
005444BD_01;29;0;6980920;3401329447687;Bioderma: Hydrabio Creme Hidratante Peles Secas a Muito Secas e Sens�veis 50mL;
015299BD_03;20;0;7119867;3701129803462;Bioderma: Photphotoderm Nude Touch Protetor Mineral 40mL Golden SPF50+;
015300BD_01;18;0;7119727;3701129804438;Bioderma: Photoderm Stick Zonas Sens�veis 8g SPF50+;
015295BD_01;25;0;7119586;3701129803523;Bioderma: Photoderm Creme 40mL SPF50;
005989BD_08;25;0;7525279;3701129807330;Bioderma: Atoderm �leo de Duche Nutritivo Anti-Irrita��es 1000mL Refill;
015302BD_02;32;0;7401026;3701129806623;Bioderma: Photoderm Leite Ultra 100mL SPF50+;
016540BD_01;17;0;6386433;3401360212237;Bioderma: Sensibio H2O Eye Desmaquilhante Micelar Bif�sico 125mL;
008256BD_02;40;0;7064451;5600714563256;Bioderma: Atoderm Stick Labial para L�bios Secos Ou Desidratados 2x4 g;
000234BD_13;7;0;7525261;3701129807323;Bioderma: Atoderm Gel Douche Suave 1000mL Refill;
000245BD_02;12;0;7275636;5600714563638;Bioderma: Sensibio Ds Creme Dermatite Seborreica 40 mL + Sensibio Gel Moussant 100 mL;
000285BD_01;12;0;6936591;3701129800997;Bioderma: ABCDerm Shampoo Suave para Crian�as 200mL;
000225BD_01;31;0;6750877;3401344957253;Bioderma: Nod� DS+ Shampoo Dermatite Seborreica 125mL;
015313BD_01;32;0;7119933;3701129803691;Bioderma: Photoderm Akn Mat Peles Mistas a Oleosas com Acne 40mL SPF30;
015305BD_01;31;0;7119578;3701129806616;Bioderma: Photoderm Bruma 150mL SPF50+;
000227BD_05;19;0;6475475;3401353791220;Bioderma: Sebium Gel de Limpeza Pele Oleosa 100mL;
015315BD_01;10;0;7119883;3701129803738;Bioderma: Photoderm Spot Age Ps Gel-Creme Anti-Manchas 40mL SPF50+;
005441BD_01;14;0;6980904;3401329447977;Bioderma: Hydrabio Perfecteur Creme Hidratante Aperfei�oador da Pele 40mL SPF30;
015049BD_01;15;0;7088203;3701129804452;Bioderma: Sensibio Defensive Creme Ativo Calmante 40mL;
004278BD_03;26;0;7478602;3401560912807;Bioderma: Atoderm Intensive Gel Moussant para Banho 1000mL;
019370BD_01;20;0;7303578;;Bioderma: Sebium S�rum 30mL;
021917BD_01;43;0;7525634;3701129812518;Bioderma: Sensibio AR+ Bi-S�rum 30mL;
016541BD_02;19;0;7276683;5600714563645;Bioderma: Sebium Kerato + 30 mL + Gel Moussant Actif 200 mL;
014729BD_01;12;0;6755587;3701129803400;Bioderma: Sebium Gel Moussant Actif Limpeza da Pele Oleosa 200mL;
000241BD_01;5;0;6923508;3701129804049;Bioderma: Sensibio AR BB Cream Peles com Vermelhid�o 40mL;
000252BD_01;14;0;6584763;3401381682361;Bioderma: S�bium Mat Control Fluido Matificante 30mL;
015050BD_01;4;0;7088278;3701129804469;Bioderma: Sensibio Defensive Rich Creme Ativo Calmante 40mL;
007182BD_02;18;0;6238121;5600757718767;Bioderma: S�bium Sensitive Hidratante 30 mL + Gel Moussant 100 mL;
000268BD_02;5;0;7266551;3701129803806;Bioderma: Photoderm Compacto 10g Dor�e / Golden SPF50;
008256BD_01;29;0;7479394;3701129804957;Bioderma: Atoderm Stick Labial para L�bios Secos Ou Desidratados 4g;
000251BD_03;3;0;7500025;5600714563935;Bioderma: S�bium Hydra Creme Hidratante Pele Oleosa;
013415BD_01;14;0;6386417;3701129802670;Bioderma: Atoderm Intensive Gel Creme 500mL;
015301BD_03;10;0;7266635;3701129807415;Bioderma: Photoderm Cover Touch 40g Mineral Very Light SPF50;
000252BD_02;9;0;7478693;5600757718453;Bioderma: S�bium Mat Control Fluido Matificante 30 mL + Gel Moussant 100 mL;
011230BD_01;7;0;6287490;3701129801369;Bioderma: Sebium Night Peel Concentrado Peeling 40mL;
007181BD_02;42;0;6037556;3401528546341;Bioderma: Atoderm SOS Spray Calmante e Anti-Prurido 200mL;
000288BD_02;4;0;6330613;3401353767218;Bioderma: ABCDerm Leite Hidratante de Corpo para Crian�as 500mL;
015433BD_01;1;0;7122176;3701129804711;Bioderma: Cicabio M�os B�lsamo Reparador 50mL;
000226BD_01;8;0;6584755;3401572288297;Bioderma: Sebium H2O Solu��o Micelar 250mL Normal;
000227BD_06;12;0;6921403;3401353806399;Bioderma: Sebium Gel de Limpeza Pele Oleosa 200 mL;
015303BD_02;12;0;7119701;3701129807279;Bioderma: Photoderm Spray Protetor Solar de Corpo 200mL SPF50+;
000234BD_02;4;0;6867580;3401399373237;Bioderma: Atoderm Gel Douche Suave 200mL;
013415BD_02;3;0;6386409;3701129802663;Bioderma: Atoderm Intensive Gel Creme 200mL;
000255BD_02;1;0;6545764;3401573697197;Bioderma: Nod� Shampoo Flu�do Uso Frequente 400mL;
000233BD_03;1;0;7479386;3401399373527;Bioderma: Atoderm Pain Intensive Sabonete Dermatol�gico 150g;
015304BD_02;10;0;7119693;3701129803653;Bioderma: Photoderm Spray Protetor Solar de Corpo 200mL SPF30;
017545BD_01;11;0;7266593;3701129807293;Bioderma: Photoderm Pediatrics Leite Protector Solar para Crian�as 200mL SPF50+;
020304BD_01;2;0;7379958;3701129809334;Bioderma: Hydrabio Hyalu+ S�rum 30mL;
006306BD_01;4;0;7479378;3701129802083;Bioderma: Atoderm B�lsamo Intensivo Apaziguante para Rosto 75mL;
000295BD_02;16;0;6856450;3401340652619;Bioderma: Atoderm PP B�lsamo Emoliente Pele At�pica 500mL;
015304BD_01;4;0;7487264;3701129807255;Bioderma: Photoderm Spray Protetor Solar de Corpo 300mL SPF30;
018375BD_01;7;0;7291450;3701129807934;Bioderma: Atoderm �leo 2 em 1 150mL;
000287BD_10;3;0;7064394;5600714563195;Bioderma: ABCDerm H20 Solu��o Micelar para Beb�s 1000mL;
000261BD_01;13;0;6868356;3701129804193;Bioderma: Atoderm Creme de M�os Reparador 50mL;
000258BD_01;15;0;6893586;3401396545132;Bioderma: Nod� A Shampoo Apaziguante 400mL;
000258BD_04;4;0;6954156;5600757718132;Bioderma: Nod� a Shampoo Apaziguante 400 mL;
023603BD_03;8;0;7537316;3701129813638;Bioderma: Photoderm Xdefense Ultra-Fluid Protetor Solar 40mL 02 SPF50+;
015304BD_03;21;0;3701129803660v;;Bioderma: Photoderm Spray Protetor Solar de Corpo 400mL SPF30 Expiration Date: 2025-06-25;
006755BD_01;3;0;7478669;3401360145207;Bioderma: S�bium Global Cover Cuidado Anti-Imperfei��es Pele Acneica 30mL;
000226BD_08;1;0;6867267;3401395376935;Bioderma: Sebium H2O Solu��o Limpeza Micelar Pele Oelosa a Mista 100mL Normal;
015310BD_01;6;0;7119560;3701129803813;Bioderma: Photoderm Autobronzeador Bruma 150mL;
023603BD_04;2;0;7537324;3701129813645;Bioderma: Photoderm Xdefense Ultra-Fluid Protetor Solar 40mL 03 SPF50+;
019370BD_02;4;0;7525071;5600358010031;Bioderma: Sebium S�rum 30mL + �gua Micelar 100mL;
000234BD_10;1;0;6386383;3401354309233;Bioderma: Atoderm Gel Douche Suave 100mL;
000255BD_03;7;0;6916445;5600757718460;Bioderma: Nod� Shampoo Flu�do Uso Frequente 400 mL;
000287BD_01;1;0;6936468;3701129801987;Bioderma: ABCDerm H20 Solu��o Micelar para Beb�s 1000mL;
024153BD_01;2;0;7543975;3701129812426;Bioderma: Cicabio Repara��o dos L�bios 10mL;
015306BD_01;7;0;7119875;3701129806609;Bioderma: Photoderm Bruma Invis�vel 150mL SPF30;
015314BD_03;9;0;7119651;3701129804421;Bioderma: Photoderm M 40mL Dor� Bronz SPF50+;
005440BD_06;15;0;6980888scart;;Bioderma: Hydrabio S�rum para Peles Sensiveis Desidratadas 40mL no outside box;
015307BD_03;10;0;7119982v;;Bioderma: Photoderm Protetor Mineral Fluido 75g SPF50+ Expiration Date: 2025-09-21;
005439BD_01;1;0;6980854;3401528521157;Bioderma: Hydrabio H2O Solu��o Limpeza Micelar Peles Sens�veis e Desidratadas 100mL;
000287BD_03;4;0;6936443;3701129801994;Bioderma: ABCDerm H20 Solu��o Micelar 100mL;
015301BD_04;1;0;7266569;3701129807422;Bioderma: Photoderm Cover Touch 40g Mineral Braun SPF50;
015303BD_06;8;0;7119701v;;Bioderma: Photoderm Spray Protetor Solar de Corpo 200mL SPF50+ Expiration Date: 2025-08-25;
024194BD_01;4;0;7550376;3701129813430;Bioderma: Sensibio AR+ SOS Spray 70mL;
021916BD_01;4;0;7525626;3701129812488;Bioderma: Sensibio AR+ Gel Micelar 250mL;
015295BD_02;1;0;7119586v;;Bioderma: Photoderm Creme 40mL SPF50 Expiration Date: 2025-10-30;
000292BD_03;1;0;3401577538373v;;Bioderma: ABCDerm Babysquam Creme para a Crosta L�ctea 40mL Expiration Date: 2025-05-25;
000261BD_04;1;0;6947101v;;Bioderma: Atoderm Creme de M�os Reparador 2x50mL 1&nbsp;un. Expiration Date: 2025-10-30;
000225BD_08;1;0;6750877scart;;Bioderma: Nod� DS+ Shampoo Dermatite Seborreica 125mL no outside box;
015299BD_06;1;0;7266601v;;Bioderma: Photoderm Nude Touch Protetor Mineral 40mL Brown SPF50+ Expiration Date: 2025-07-25;

